timestamp,service_name,event_code,event_provider,trace_id,transaction_id,message,callee,call_duration
2025-06-03 11:32:08:831,service_7,package_3.package_4.interface_4.function_3,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_3:5, function_3 Slot9, 0.033499999999999995",service_3,0.0
2025-06-03 11:32:09:013,service_7,package_3.package_4.interface_4.function_3,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_3:5, function_3 Slot10, 0.037",service_3,0.0
2025-06-03 11:32:09:187,service_7,package_3.package_4.interface_4.function_3,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_3:5, function_3 Slot11, 0.040499999999999994",service_3,0.177
2025-06-03 11:32:09:365,service_7,package_3.package_4.interface_4.function_3,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_3:5, function_3 Slot12, 0.044",service_3,0.154
2025-06-03 11:32:09:528,service_7,package_3.package_5.interface_5.function_5,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_9:2, function_5",service_9,0.007
2025-06-03 11:32:09:536,service_7,package_3.package_5.interface_6.function_6,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_9:8, function_6 (Alpha:-0.104593,Beta:0,X:0.000279993,Y:0.000168015,Z:-0.000210003)",service_9,0.002
2025-06-03 11:32:09:538,service_7,package_3.package_5.interface_5.function_3,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_9:2, function_3 PreLoad, (Pos_objectId:2970299:service_9:8,Temperature:300)",service_9,0.0
2025-06-03 11:32:09:815,service_9,package_3.package_6.package_5.interface_7.function_5,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:1, function_5",service_23,0.003
2025-06-03 11:32:09:819,service_9,package_3.package_6.package_5.interface_8.function_7,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:12, function_7 0.00027999328",service_23,0.003
2025-06-03 11:32:09:822,service_9,package_3.package_6.package_5.interface_8.function_8,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:12, function_8 0.000168014818",service_23,0.0
2025-06-03 11:32:09:824,service_9,package_3.package_6.package_5.interface_8.function_9,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:12, function_9 -0.00021000338",service_23,0.002
2025-06-03 11:32:09:826,service_9,package_3.package_6.package_5.interface_8.function_10,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:12, function_10 -0.104593124883517",service_23,0.0
2025-06-03 11:32:09:828,service_9,package_3.package_6.package_5.interface_8.function_11,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:12, function_11 0",service_23,0.001
2025-06-03 11:32:09:830,service_9,package_3.package_6.package_5.interface_9.function_12,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_23:13, function_12 2, object[id:2970299:service_23:12]",service_23,0.001
2025-06-03 11:32:09:835,service_7,package_3.package_5.interface_5.function_5,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_9:2, function_5",service_9,0.001
2025-06-03 11:32:09:836,service_7,package_3.package_5.interface_6.function_6,infrastructure,33cc2259-09d9-48f3-96dc-fee385fb67ba,fb2ace14-12e9-4149-a2d2-3d77cc9fb44b,"-> Client, 2970299:service_9:9, function_6 (Alpha:-0.0173267,Beta:0,X:0.000249993,Y:0.000138015,Z:1.99966e-05)",service_9,0.003
